,BST,LLRBT,BF
269,8.292001439258456e-06,3.891700180247426e-05,2.5040993932634592e-05
270,1.0541989468038082e-05,3.8790982216596603e-05,2.420798409730196e-05
271,7.541995728388429e-06,4.06669860240072e-05,2.8749986086040735e-05
272,7.541995728388429e-06,4.3208012357354164e-05,2.63339898083359e-05
273,8.499977411702275e-06,4.0125014493241906e-05,2.5625020498409867e-05
274,6.958987796679139e-06,4.308400093577802e-05,2.6083987904712558e-05
275,1.2542004697024822e-05,4.3249980080872774e-05,2.5666988221928477e-05
276,6.95799826644361e-06,3.9790989831089973e-05,2.9333983547985554e-05
277,1.2250005966052413e-05,3.7582998629659414e-05,3.845899482257664e-05
278,1.0457995813339949e-05,4.195800283923745e-05,2.4874985683709383e-05
279,1.1541997082531452e-05,3.4958007745444775e-05,2.6541994884610176e-05
280,1.2542004697024822e-05,3.9583013858646154e-05,2.5457993615418673e-05
281,1.129100564867258e-05,4.8165995394811034e-05,2.5374989490956068e-05
282,6.167014362290502e-06,3.887497587129474e-05,2.8624985134229064e-05
283,9.332987247034907e-06,3.908298094756901e-05,2.5708024622872472e-05
284,8.584000170230865e-06,4.3791980715468526e-05,2.6374997105449438e-05
285,1.0333984391763806e-05,4.354197881184518e-05,2.7541012968868017e-05
286,6.167014362290502e-06,4.3917010771110654e-05,2.7958012651652098e-05
287,1.1041003745049238e-05,5.033300840295851e-05,2.6166002498939633e-05
288,9.665993275120854e-06,3.716701758094132e-05,2.520799171179533e-05
289,1.0124989785254002e-05,0.00011712498962879181,2.9041984817013144e-05
290,8.333008736371994e-06,4.570800228975713e-05,2.879201201722026e-05
291,8.95900302566588e-06,4.325000918470323e-05,2.549999044276774e-05
292,1.0000017937272787e-05,4.983300459571183e-05,2.5459012249484658e-05
293,1.1791998986154795e-05,5.125001189298928e-05,2.5957997422665358e-05
294,7.041002390906215e-06,4.237500252202153e-05,2.779200440272689e-05
295,8.500006515532732e-06,3.933301195502281e-05,2.529201447032392e-05
296,9.125011274591088e-06,4.0166982216760516e-05,2.4375010980293155e-05
297,8.1659818533808e-06,3.679198562167585e-05,2.5957997422665358e-05
298,1.1333002476021647e-05,4.6999979531392455e-05,2.5957997422665358e-05
299,8.66700429469347e-06,3.6290992284193635e-05,2.6124995201826096e-05
300,1.09999964479357e-05,4.6833010856062174e-05,0.0001283750170841813
301,1.7792015569284558e-05,3.845800529234111e-05,2.7834001230075955e-05
302,1.1416996130719781e-05,4.341601743362844e-05,2.470900653861463e-05
303,1.1625001206994057e-05,4.712500958703458e-05,2.5667017325758934e-05
304,1.6916979802772403e-05,5.075000808574259e-05,2.7292000595480204e-05
305,1.1625001206994057e-05,3.612501313909888e-05,3.504200140014291e-05
306,1.3250013580545783e-05,3.920801100321114e-05,2.6416993932798505e-05
307,9.874987881630659e-06,5.0000002374872565e-05,2.5709014153108e-05
308,1.1583993909880519e-05,3.9583013858646154e-05,3.23750136885792e-05
309,1.0707997716963291e-05,3.975001163780689e-05,2.662499900907278e-05
310,9.875016985461116e-06,3.879200085066259e-05,2.5582994567230344e-05
311,1.1791998986154795e-05,3.6958022974431515e-05,2.6666995836421847e-05
312,1.0832998668774962e-05,4.358298610895872e-05,2.8332986403256655e-05
313,1.2916018022224307e-05,4.1916995542123914e-05,2.487501478753984e-05
314,1.0374991688877344e-05,4.087499110028148e-05,2.4874985683709383e-05
315,1.1000025551766157e-05,3.9207981899380684e-05,2.6958994567394257e-05
316,1.3500015484169126e-05,4.979199729859829e-05,2.6666995836421847e-05
317,1.3416021829470992e-05,4.3916021240875125e-05,2.5541987270116806e-05
318,9.792012860998511e-06,4.00420103687793e-05,2.579198917374015e-05
319,1.2457981938496232e-05,4.975000047124922e-05,2.4625012883916497e-05
320,1.370901009067893e-05,3.9125006878748536e-05,2.6374997105449438e-05
321,8.332979632541537e-06,4.370900569483638e-05,2.604199107736349e-05
322,1.200000406242907e-05,3.666599513962865e-05,2.5415996788069606e-05
323,1.737498678267002e-05,3.716701758094132e-05,2.5749992346391082e-05
324,1.1249998351559043e-05,4.120898665860295e-05,2.5999994250014424e-05
325,1.2874981621280313e-05,6.670798757113516e-05,2.591600059531629e-05
326,1.2582982890307903e-05,4.549999721348286e-05,2.9667018679901958e-05
327,1.1083000572398305e-05,4.8457994125783443e-05,2.6416993932798505e-05
328,1.4042016118764877e-05,4.358400474302471e-05,2.54589831456542e-05
329,8.458009688183665e-06,3.862500307150185e-05,2.4541019229218364e-05
330,1.1124997399747372e-05,5.729199619963765e-05,2.475001383572817e-05
331,1.4374993043020368e-05,4.8999994760379195e-05,2.662499900907278e-05
332,1.5958008589223027e-05,3.7707999581471086e-05,2.7667003450915217e-05
333,1.3209006283432245e-05,3.645801916718483e-05,2.404101542197168e-05
334,8.750008419156075e-06,4.170899046584964e-05,2.566599869169295e-05
335,1.2125005014240742e-05,3.779199323616922e-05,2.6124995201826096e-05
336,1.0249990737065673e-05,3.949998063035309e-05,2.77079816441983e-05
337,1.3667013263329864e-05,4.4374988647177815e-05,2.604199107736349e-05
338,1.4791992725804448e-05,4.3333013309165835e-05,2.6290974346920848e-05
339,8.792005246505141e-06,4.650000482797623e-05,2.9290997190400958e-05
340,9.99998883344233e-06,5.0125003326684237e-05,2.7665984816849232e-05
341,1.3582990504801273e-05,3.7084013456478715e-05,2.8250011382624507e-05
342,1.133297337219119e-05,4.4041022192686796e-05,2.4833017960190773e-05
343,9.458017302677035e-06,5.2332994528114796e-05,2.5290995836257935e-05
344,9.499985026195645e-06,4.7542009269818664e-05,2.62079993262887e-05
345,1.3250013580545783e-05,5.3415977163240314e-05,2.4541979655623436e-05
346,9.374984074383974e-06,4.237500252202153e-05,2.5500019546598196e-05
347,1.4042016118764877e-05,4.416602314449847e-05,2.4834007490426302e-05
348,1.0249990737065673e-05,4.1457999031990767e-05,2.4459004634991288e-05
349,9.834009688347578e-06,4.1332998080179095e-05,2.4749984731897712e-05
350,1.320798764936626e-05,4.066599649377167e-05,2.5083980290219188e-05
351,8.58298153616488e-06,5.616701673716307e-05,2.470900653861463e-05
352,7.166992872953415e-06,5.4791016736999154e-05,2.4917011614888906e-05
353,1.0457995813339949e-05,4.824998904950917e-05,2.400000812485814e-05
354,1.3625016435980797e-05,4.558300133794546e-05,2.5042012566700578e-05
355,8.666014764457941e-06,4.712500958703458e-05,2.8292008209973574e-05
356,1.3375014532357454e-05,4.0624989196658134e-05,2.649999805726111e-05
357,1.3957993360236287e-05,3.5165983717888594e-05,2.5749992346391082e-05
358,1.0540999937802553e-05,3.483297768980265e-05,2.487501478753984e-05
359,1.0917021427303553e-05,5.212498945184052e-05,2.8667011065408587e-05
360,7.916998583823442e-06,4.51250234618783e-05,2.4459004634991288e-05
361,8.750008419156075e-06,4.183300188742578e-05,2.820801455527544e-05
362,7.750000804662704e-06,4.7999987145885825e-05,2.5583984097465873e-05
363,9.207986295223236e-06,4.3791980715468526e-05,2.4667009711265564e-05
364,8.624978363513947e-06,4.504199023358524e-05,2.508299075998366e-05
365,9.25001222640276e-06,4.570800228975713e-05,2.870798925869167e-05
366,9.624985978007317e-06,4.120901576243341e-05,2.8167007258161902e-05
367,1.120797242037952e-05,4.149999585933983e-05,2.487501478753984e-05
368,8.125003660097718e-06,3.716701758094132e-05,2.937499084509909e-05
369,1.4458026271313429e-05,4.8833986511453986e-05,2.5792018277570605e-05
370,1.0334013495594263e-05,5.0166010623797774e-05,2.7708010748028755e-05
371,1.737498678267002e-05,4.1457999031990767e-05,2.841599052771926e-05
372,1.2750009773299098e-05,4.341598832979798e-05,2.862501423805952e-05
373,1.3082986697554588e-05,4.9084017518907785e-05,2.4666980607435107e-05
374,1.1916999937966466e-05,4.491698928177357e-05,2.491599298082292e-05
375,9.457988198846579e-06,4.266700125299394e-05,2.4374981876462698e-05
376,1.029198756441474e-05,5.6917022448033094e-05,2.6959023671224713e-05
377,1.3958982890471816e-05,4.416698357090354e-05,2.5249988539144397e-05
378,9.334005881100893e-06,3.966700751334429e-05,2.5708985049277544e-05
379,1.4125020243227482e-05,4.387501394376159e-05,2.5707995519042015e-05
380,1.4459015801548958e-05,3.258301876485348e-05,2.7875008527189493e-05
381,1.158300437964499e-05,4.404099308885634e-05,2.5874993298202753e-05
